loop_size,tick,time
1730223,12117840,3.917647
3487291,24420892,7.895173
1163457,8144208,2.632989
2655934,18601068,6.013648
3783935,26498464,8.566844
3695745,25882648,8.367753
3550560,24865044,8.038766
2388463,16724480,5.406955
1738489,12870784,4.161071
3436423,24070192,7.781793
3508631,24571956,7.944012
3922917,27470752,8.881180
2313497,16202720,5.238272
3961753,27741128,8.968592
1808851,12666196,4.094929
4683657,32803008,10.605077
3739026,26184168,8.465233
3612521,25845328,8.355688
2029061,14209080,4.593737
3129763,22741028,7.352080
1350574,9459316,3.058158
2041987,14300008,4.623133
4509535,31576988,10.208709
3744499,27050220,8.745224
1374960,9624732,3.111636
1445102,10121344,3.272189
2446403,17134044,5.539365
3306762,23153056,7.485287
3372845,23618820,7.635867
3666226,25674148,8.300346
2155111,15095272,4.880239
4103068,28729296,9.288062
2153517,15078896,4.874945
2318568,16235240,5.248786
1759003,12318248,3.982439
4937452,34814204,11.255288
1014314,7106648,2.297550
4309564,30887912,9.985934
2325916,16291020,5.266819
1752804,12274832,3.968402
2745987,19298208,6.239031
4834547,33854568,10.945042
4675721,32848352,10.619736
4059485,28425496,9.189845
3796301,26584660,8.594710
1484572,10395940,3.360964
3743143,26213096,8.474585
2535327,17751420,5.738961
4097093,28692560,9.276186
4772205,33413256,10.802367
4665091,33493052,10.828165
4447668,31972220,10.336486
1814192,12703268,4.106914
4174627,29231508,9.450425
3192168,22353364,7.226750
2189153,15761420,5.095602
4619729,32350988,10.458940
4638571,32783748,10.598850
4495915,32307212,10.444788
2992575,20957376,6.775433
3304798,23141324,7.481494
1651026,11561124,3.737664
2095644,14673192,4.743782
4458315,31219188,10.093034
2969595,20794924,6.722913
2854648,19991568,6.463191
4395768,30852616,9.974523
2983909,20925784,6.765219
2164213,15154896,4.899515
1721684,12057604,3.898173
3736713,26167988,8.460002
3910201,27380952,8.852148
1556232,10898944,3.523583
3412435,23894740,7.725070
2969686,21983444,7.107156
4352534,30477068,9.853110
3897007,27389572,8.854935
1712830,12010248,3.882863
1887862,13221868,4.274575
2994101,20964252,6.777656
1485035,10400600,3.362471
1552953,10876212,3.516234
2441770,17929476,5.796525
2299228,16099924,5.205039
4727581,33103744,10.702303
4633938,32446896,10.489947
3488381,24429692,7.898018
4347311,30481536,9.854554
4272510,29915580,9.671583
2984297,20899148,6.756608
2339886,16384924,5.297178
2577308,18932504,6.120800
3635324,25455220,8.229567
3435531,24056516,7.777372
2035624,14253604,4.608131
1604919,11316616,3.658615
1290180,9632692,3.114209
1431393,10025476,3.241195
3588829,25131700,8.124975
2454393,17190576,5.557642
2153078,15075736,4.873923
2325543,16284012,5.264554
1364594,9558076,3.090086
2709310,18970352,6.133036
4737978,33181404,10.727411
3334281,23350496,7.549119
2061845,14436644,4.667307
3634986,25454148,8.229221
4047111,28344040,9.163511
2949707,20651744,6.676623
